RawTimestamp,LocalTime,HR_Direct,HR_Buffered,PPG,GSR,Temperature
1743439194498,12:39:54.498,-1,-1,1287.91208791209,0.636918636918637,33.9114149808884
1743439194517,12:39:54.517,-1,-1,1291.57509157509,0.632922632922633,33.9114149808884
1743439194537,12:39:54.537,-1,-1,1282.05128205128,0.632922632922633,33.9114149808884
1743439194556,12:39:54.556,-1,-1,1265.93406593407,0.636030636030636,33.9114149808884
1743439194576,12:39:54.576,-1,-1,1248.35164835165,0.639138639138639,33.9114149808884
1743439194595,12:39:54.595,-1,-1,1234.43223443223,0.637806637806638,33.9114149808884
1743439194615,12:39:54.615,-1,-1,1237.36263736264,0.633810633810634,33.9114149808884
1743439194634,12:39:54.634,-1,-1,1248.35164835165,0.630702630702631,33.9114149808884
1743439194654,12:39:54.654,-1,-1,1246.15384615385,0.631146631146631,33.9114149808884
1743439194673,12:39:54.673,-1,-1,1264.46886446886,0.635142635142635,33.9114149808884
1743439194693,12:39:54.693,-1,-1,1296.7032967033,0.637806637806638,33.9114149808884
1743439194712,12:39:54.712,-1,-1,1338.46153846154,0.636030636030636,33.9114149808884
1743439194732,12:39:54.732,-1,-1,1404.3956043956,0.632478632478632,33.9114149808884
1743439194751,12:39:54.751,-1,-1,1470.32967032967,0.629370629370629,33.9114149808884
1743439194771,12:39:54.771,-1,-1,1515.75091575092,0.63025863025863,33.9114149808884
1743439194790,12:39:54.790,-1,-1,1573.62637362637,0.634698634698635,33.9114149808884
1743439194810,12:39:54.810,-1,-1,1608.05860805861,0.636918636918637,33.9114149808884
1743439194829,12:39:54.829,-1,-1,1635.16483516484,0.636474636474636,33.9214205178432
1743439194849,12:39:54.849,-1,-1,1655.67765567766,0.633366633366633,33.9214205178432
1743439194868,12:39:54.868,-1,-1,1668.13186813187,0.632478632478632,33.9214205178432
1743439194888,12:39:54.888,-1,-1,1666.66666666667,0.634698634698635,33.9214205178432
1743439194907,12:39:54.907,-1,-1,1661.53846153846,0.63958263958264,33.9214205178432
1743439194927,12:39:54.927,-1,-1,1658.60805860806,0.641802641802642,33.9214205178432
1743439194946,12:39:54.946,-1,-1,1635.16483516484,0.64047064047064,33.9214205178432
1743439194966,12:39:54.966,-1,-1,1615.38461538462,0.636030636030636,33.9214205178432
1743439194985,12:39:54.985,-1,-1,1602.9304029304,0.635142635142635,33.9214205178432
1743439195005,12:39:55.005,-1,-1,1571.42857142857,0.637806637806638,33.9214205178432
1743439195024,12:39:55.024,-1,-1,1540.65934065934,0.643134643134643,33.9214205178432
1743439195044,12:39:55.044,-1,-1,1518.68131868132,0.644910644910645,33.9214205178432
1743439195063,12:39:55.063,-1,-1,1512.82051282051,0.644022644022644,33.9214205178432
1743439195083,12:39:55.083,-1,-1,1512.08791208791,0.64047064047064,33.9214205178432
1743439195102,12:39:55.102,-1,-1,1515.01831501831,0.64047064047064,33.9214205178432
1743439195122,12:39:55.122,-1,-1,1512.08791208791,0.643578643578643,33.9214205178432
1743439195141,12:39:55.141,-1,-1,1495.2380952381,0.64979464979465,33.9214205178432
1743439195161,12:39:55.161,-1,-1,1467.39926739927,0.652014652014652,33.9214205178432
1743439195180,12:39:55.180,-1,-1,1437.36263736264,0.650682650682651,33.9214205178432
1743439195200,12:39:55.200,-1,-1,1406.59340659341,0.647130647130647,33.9214205178432
1743439195219,12:39:55.219,-1,-1,1386.08058608059,0.648018648018648,33.9214205178432
1743439195239,12:39:55.239,-1,-1,1379.48717948718,0.651126651126651,33.9214205178432
1743439195258,12:39:55.258,-1,-1,1370.69597069597,0.657342657342657,33.9214205178432
1743439195278,12:39:55.278,-1,-1,1347.25274725275,0.658674658674659,33.9214205178432
1743439195297,12:39:55.297,-1,-1,1328.20512820513,0.657342657342657,33.9214205178432
1743439195317,12:39:55.317,-1,-1,1305.49450549451,0.653790653790654,33.9214205178432
1743439195336,12:39:55.336,-1,-1,1290.84249084249,0.653790653790654,33.9214205178432
1743439195356,12:39:55.356,-1,-1,1289.37728937729,0.656898656898657,33.9214205178432
1743439195375,12:39:55.375,-1,-1,1294.50549450549,0.661782661782662,33.9214205178432
1743439195395,12:39:55.395,-1,-1,1320.87912087912,0.661782661782662,33.9214205178432
1743439195414,12:39:55.414,-1,-1,1345.05494505494,0.659118659118659,33.9214205178432
1743439195434,12:39:55.434,-1,-1,1347.25274725275,0.655122655122655,33.9214205178432
1743439195453,12:39:55.453,-1,-1,1334.06593406593,0.655566655566655,33.9214205178432
1743439195473,12:39:55.473,-1,-1,1322.34432234432,0.658674658674659,33.9214205178432
1743439195492,12:39:55.492,-1,-1,1315.75091575092,0.664002664002664,33.9214205178432
1743439195512,12:39:55.512,-1,-1,1311.35531135531,0.663558663558663,33.9214205178432
1743439195531,12:39:55.531,-1,-1,1298.9010989011,0.66045066045066,33.9214205178432
1743439195551,12:39:55.551,-1,-1,1276.19047619048,0.657342657342657,33.9214205178432
1743439195570,12:39:55.570,-1,-1,1254.21245421245,0.658230658230658,33.9214205178432
