RawTimestamp,LocalTime,HR_Original,PPG,GSR,Temperature
1.74329E+12,14:49.6,-1,1708.424908,1.914285714,35.41698636
1.74329E+12,14:49.7,-1,1715.750916,1.914285714,35.41698636
1.74329E+12,14:49.7,-1,1701.098901,1.914285714,35.41698636
1.74329E+12,14:49.7,-1,1673.992674,1.914285714,35.41698636
1.74329E+12,14:49.7,-1,1654.212454,1.912820513,35.41698636
1.74329E+12,14:49.7,-1,1638.827839,1.912820513,35.41698636
1.74329E+12,14:49.8,-1,1624.908425,1.912820513,35.41698636
1.74329E+12,14:49.8,-1,1573.626374,1.914285714,35.41698636
1.74329E+12,14:49.8,-1,1512.820513,1.912820513,35.41698636
1.74329E+12,14:49.8,-1,1460.07326,1.912820513,35.41698636
1.74329E+12,14:49.8,-1,1416.849817,1.912820513,35.41698636
1.74329E+12,14:49.9,-1,1386.813187,1.912820513,35.41698636
